video_name,video_id,window_index,window_start_sec,window_end_sec,zone_id,unique_person_count,avg_person_count_per_frame,max_person_count_per_frame,zone_presence_ratio,avg_bbox_area_ratio,total_bbox_area_ratio,avg_detection_confidence,valid_motion_rows,avg_movement_norm,avg_speed_px_s,avg_speed_norm_s,speed_std_norm_s,avg_acceleration_norm_s2,acceleration_std_norm_s2,avg_direction_change_deg,mean_direction_deg,direction_consistency,movement_activity
test.mp4,VIDEO_005,3,6.0,8.0,ZONE_C,4,2.66,4,1.0,0.01004608,1.33612833,0.689751,132,0.00107573,59.2434,0.02689327,0.02549354,0.01449257,0.71601678,57.6592,153.0289,0.087869,0.992481
test.mp4,VIDEO_005,4,8.0,10.0,ZONE_A,11,4.98,7,1.0,0.0279797,6.9669444,0.705504,239,0.00571939,314.9819,0.14298465,0.13613215,-0.10884439,2.95881475,34.758,347.6811,0.426686,0.959839
test.mp4,VIDEO_005,4,8.0,10.0,ZONE_B,25,8.26,11,1.0,0.0145384,6.00435767,0.563416,389,0.00254327,140.0647,0.06358175,0.0573336,-0.01832659,1.25102121,32.7277,318.9856,0.305042,0.941889
test.mp4,VIDEO_005,4,8.0,10.0,ZONE_C,6,2.88,4,1.0,0.01555452,2.2398507,0.632287,136,0.00103342,56.9131,0.02583544,0.02463682,-0.00126661,0.57774275,47.7706,55.3982,0.19873,0.944444
test.mp4,VIDEO_005,5,10.0,12.0,ZONE_A,13,4.4,5,1.0,0.0301546,6.63401221,0.718556,211,0.00472444,260.1877,0.11811107,0.12874917,-0.0237314,2.31896505,31.0819,343.5099,0.22425,0.959091
test.mp4,VIDEO_005,5,10.0,12.0,ZONE_B,30,8.54,11,1.0,0.01746254,7.45650454,0.592678,398,0.00314211,173.0446,0.07855285,0.07546468,0.03559978,1.77069089,34.1326,348.3157,0.249365,0.932084
test.mp4,VIDEO_005,5,10.0,12.0,ZONE_C,6,2.76,5,1.0,0.02775186,3.82975645,0.763128,135,0.00160075,88.1575,0.04001873,0.04608459,-0.02031529,1.26343125,44.9757,43.3108,0.154959,0.978261
test.mp4,VIDEO_005,6,12.0,14.0,ZONE_A,7,4.18,6,1.0,0.0225273,4.70820608,0.709547,203,0.00207277,114.1529,0.05181921,0.10332303,0.07974085,1.69797617,51.378,282.5379,0.259276,0.971292
test.mp4,VIDEO_005,6,12.0,14.0,ZONE_B,24,8.08,11,1.0,0.01697522,6.8579905,0.594732,379,0.00305187,168.0746,0.07629673,0.08083046,-5.663e-05,1.7998672,41.3772,312.3693,0.332659,0.938119
test.mp4,VIDEO_005,6,12.0,14.0,ZONE_C,8,2.76,6,1.0,0.02611182,3.60343052,0.667885,130,0.00251052,138.2612,0.06276307,0.09382948,0.02289737,2.02245305,38.8292,140.2751,0.195633,0.942029
walk.mp4,VIDEO_004,0,0.0,2.0,ZONE_A,32,6.85,10,1.0,0.01342139,5.51619043,0.624601,370,0.00242795,213.9419,0.07283849,0.07483596,-0.0478467,1.44208236,31.3937,210.2273,0.303649,0.900243
walk.mp4,VIDEO_004,0,0.0,2.0,ZONE_B,24,7.0333,11,1.0,0.00593688,2.50536326,0.566087,396,0.00161131,141.9826,0.04833929,0.04983206,0.02162572,1.12999444,34.6585,236.1166,0.178815,0.938389
walk.mp4,VIDEO_004,0,0.0,2.0,ZONE_C,17,7.8333,10,1.0,0.01256051,5.90344148,0.696497,448,0.00106176,93.5586,0.03185288,0.02197364,0.02043764,0.617449,38.0903,312.3093,0.064655,0.953191
walk.mp4,VIDEO_004,1,2.0,4.0,ZONE_A,30,9.0167,12,1.0,0.00554976,3.002418,0.534724,501,0.00146523,129.1103,0.04395678,0.04638387,0.0031207,0.96565473,45.3338,290.054,0.167618,0.926063
walk.mp4,VIDEO_004,1,2.0,4.0,ZONE_B,21,7.5333,10,1.0,0.00503662,2.27655132,0.584254,428,0.00112716,99.3213,0.03381486,0.03528993,0.0021746,0.72362185,41.2171,302.5369,0.28147,0.946903
walk.mp4,VIDEO_004,1,2.0,4.0,ZONE_C,20,7.5167,11,1.0,0.02087931,9.41657012,0.657806,427,0.00193739,170.7157,0.05812173,0.05960968,0.0157945,1.5370052,41.1585,6.494,0.012902,0.946785
walk.mp4,VIDEO_004,2,4.0,6.0,ZONE_A,31,8.3333,11,1.0,0.01060289,5.30144664,0.562897,463,0.00217402,191.5669,0.0652207,0.07371465,0.05091058,1.36922845,44.929,312.3325,0.289237,0.926
